symptom,disease
Vomiting,Liver cancer
Vomiting,Recurrent pancreatitis
Vomiting,Major head injury
Watery eyes,Measles
Watery eyes,Allergic rhinitis
Watery eyes,Hay fever
Weak flow of urine,Uterine prolapse
Weak flow of urine,Prostatic enlargement
Weak flow of urine,Prostate Cancer
Weakness in the legs,Guillain-Barre syndrome
Weakness in the legs,Stroke
Weakness of one side of the body,Carpal Tunnel Syndrome
Weakness of one side of the body,Stroke
Weakness of one side of the body,Aneurysm
Wheeze (noise on breathing out),Asthma
Wheeze (noise on breathing out),Bronchitis
Wheeze (noise on breathing out),Acute exacerbation of COPD
Wheeze (noise on breathing out),Chronic obstructive lung disease
Wheeze (noise on breathing out),Asthma Attack
Wheeze (noise on breathing out),Bronchiolitis
White patches in mouth or tongue,Oral Thrush
White patches in mouth or tongue,Oral thrush
White spots on tonsils,Tonsillitis
White spots on tonsils,Diphtheria
Yellow skin or eyes,Pancreatic Cancer
Yellow skin or eyes,Liver cancer
Yellow skin or eyes,Hepatitis
Yellow skin or eyes,Bile duct Cancer
