symptom,disease
Diarrhoea and Headache,Malaria
Diarrhoea and High temperature,Typhoid fever
Diarrhoea and High temperature,Malaria
Diarrhoea and Mucus in stool or  poo,Crohn's disease
Diarrhoea and Mucus in stool or  poo,Ulcerative colitis
Diarrhoea and Passing excessive wind,Gluten Intolerance
Diarrhoea and Passing excessive wind,Irritable bowel syndrome
Diarrhoea and Passing excessive wind,Lactose intolerance
Diarrhoea and Stomach cramps,Crohn's disease
Diarrhoea and Stomach cramps,Gastroenteritis
Diarrhoea and Stomach cramps,Irritable bowel syndrome
Diarrhoea and Sweating,Malaria
Diarrhoea and Sweating,Overactive Thyroid
Diarrhoea and Unusually tired,Crohn's disease
Diarrhoea and Unusually tired,Typhoid fever
Diarrhoea and Unusually tired,Malaria
Diarrhoea and Unusually tired,Ulcerative colitis
Diarrhoea and Unusually tired,Alcoholic liver disease
Diarrhoea and Unusually tired,Gluten Intolerance
"Diarrhoea, Bloody diarrhoea and Change in bowel habit",Ulcerative colitis
"Diarrhoea, Bloody diarrhoea and Change in bowel habit",Crohn's disease
"Diarrhoea, Bloody diarrhoea and Mucus in stool or  poo",Ulcerative colitis
"Diarrhoea, Bloody diarrhoea and Mucus in stool or  poo",Crohn's disease
"Diarrhoea, Bloody diarrhoea and Unusually tired",Ulcerative colitis
"Diarrhoea, Bloody diarrhoea and Unusually tired",Crohn's disease
"Diarrhoea, Change in bowel habit and Stomach cramps",Crohn's disease
"Diarrhoea, Change in bowel habit and Stomach cramps",Irritable bowel syndrome
"Diarrhoea, Change in bowel habit and Unusually tired",Crohn's disease
"Diarrhoea, Change in bowel habit and Unusually tired",Ulcerative colitis
"Diarrhoea, Feeling sick or nausea and Unusually tired",Alcoholic liver disease
"Diarrhoea, Feeling sick or nausea and Unusually tired",Typhoid fever
"Diarrhoea, Headache and Unusually tired",Typhoid fever
"Diarrhoea, Headache and Unusually tired",Malaria
"Diarrhoea, High temperature and Headache",Typhoid fever
"Diarrhoea, High temperature and Headache",Malaria
"Diarrhoea, High temperature and Unusually tired",Typhoid fever
"Diarrhoea, High temperature and Unusually tired",Malaria
"Diarrhoea, Mucus in stool or  poo and Change in bowel habit",Ulcerative colitis
"Diarrhoea, Mucus in stool or  poo and Change in bowel habit",Crohn's disease
"Diarrhoea, Mucus in stool or  poo and Unusually tired",Crohn's disease
"Diarrhoea, Mucus in stool or  poo and Unusually tired",Ulcerative colitis
"Diarrhoea, Passing excessive wind and Abdominal pain after eating",Irritable bowel syndrome
"Diarrhoea, Passing excessive wind and Abdominal pain after eating",Lactose intolerance
"Diarrhoea, Unusually tired and Continuous, unexplained weight loss",Gluten Intolerance
"Diarrhoea, Unusually tired and Continuous, unexplained weight loss",Crohn's disease
Difficult or painful swallowing,Oesophageal Cancer
Difficult or painful swallowing,Systemic sclerosis
Difficult or painful swallowing,Sore throat
Difficult or painful swallowing,Nasopharyngeal cancer
Difficult or painful swallowing,Achalasia
Difficult or painful swallowing,Tonsillitis
Difficult or painful swallowing,Diphtheria
Difficult or painful swallowing and Blocked nose,Nasopharyngeal cancer
Difficult or painful swallowing and Blocked nose,Diphtheria
Difficult or painful swallowing and Burning pain in chest or upper abdomen,Achalasia
Difficult or painful swallowing and Burning pain in chest or upper abdomen,Systemic sclerosis
Difficult or painful swallowing and Burning pain in chest or upper abdomen,Oesophageal Cancer
Difficult or painful swallowing and Change of voice,Tonsillitis
Difficult or painful swallowing and Change of voice,Diphtheria
Difficult or painful swallowing and Change of voice,Nasopharyngeal cancer
"Difficult or painful swallowing and Continuous, unexplained weight loss",Achalasia
"Difficult or painful swallowing and Continuous, unexplained weight loss",Oesophageal Cancer
"Difficult or painful swallowing and Continuous, unexplained weight loss",Nasopharyngeal cancer
Difficult or painful swallowing and Food sticks on swallowing,Achalasia
Difficult or painful swallowing and Food sticks on swallowing,Systemic sclerosis
Difficult or painful swallowing and Food sticks on swallowing,Oesophageal Cancer
Difficult or painful swallowing and High temperature,Tonsillitis
Difficult or painful swallowing and High temperature,Diphtheria
Difficult or painful swallowing and Shortness of breath,Systemic sclerosis
Difficult or painful swallowing and Shortness of breath,Diphtheria
Difficult or painful swallowing and Sore throat,Tonsillitis
Difficult or painful swallowing and Sore throat,Diphtheria
Difficult or painful swallowing and Sore throat,Sore throat
Difficult or painful swallowing and Swollen glands in neck,Nasopharyngeal cancer
Difficult or painful swallowing and Swollen glands in neck,Diphtheria
Difficult or painful swallowing and Unusually tired,Tonsillitis
Difficult or painful swallowing and Unusually tired,Diphtheria
Difficult or painful swallowing and White spots on tonsils,Tonsillitis
Difficult or painful swallowing and White spots on tonsils,Diphtheria
"Difficult or painful swallowing, Blocked nose and Change of voice",Nasopharyngeal cancer
"Difficult or painful swallowing, Blocked nose and Change of voice",Diphtheria
"Difficult or painful swallowing, Blocked nose and Swollen glands in neck",Nasopharyngeal cancer
"Difficult or painful swallowing, Blocked nose and Swollen glands in neck",Diphtheria
"Difficult or painful swallowing, Burning pain in chest or upper abdomen and Continuous, unexplained weight loss",Oesophageal Cancer
"Difficult or painful swallowing, Burning pain in chest or upper abdomen and Continuous, unexplained weight loss",Achalasia
"Difficult or painful swallowing, Burning pain in chest or upper abdomen and Food sticks on swallowing",Systemic sclerosis
"Difficult or painful swallowing, Burning pain in chest or upper abdomen and Food sticks on swallowing",Oesophageal Cancer
"Difficult or painful swallowing, Burning pain in chest or upper abdomen and Food sticks on swallowing",Achalasia
"Difficult or painful swallowing, Change of voice and Sore throat",Diphtheria
"Difficult or painful swallowing, Change of voice and Sore throat",Tonsillitis
"Difficult or painful swallowing, Change of voice and Swollen glands in neck",Diphtheria
"Difficult or painful swallowing, Change of voice and Swollen glands in neck",Nasopharyngeal cancer
"Difficult or painful swallowing, Change of voice and Unusually tired",Tonsillitis
"Difficult or painful swallowing, Change of voice and Unusually tired",Diphtheria
"Difficult or painful swallowing, Change of voice and White spots on tonsils",Diphtheria
"Difficult or painful swallowing, Change of voice and White spots on tonsils",Tonsillitis
"Difficult or painful swallowing, Food sticks on swallowing and Continuous, unexplained weight loss",Achalasia
"Difficult or painful swallowing, Food sticks on swallowing and Continuous, unexplained weight loss",Oesophageal Cancer
"Difficult or painful swallowing, High temperature and Change of voice",Diphtheria
"Difficult or painful swallowing, High temperature and Change of voice",Tonsillitis
"Difficult or painful swallowing, High temperature and Sore throat",Tonsillitis
"Difficult or painful swallowing, High temperature and Sore throat",Diphtheria
"Difficult or painful swallowing, High temperature and Unusually tired",Tonsillitis
"Difficult or painful swallowing, High temperature and Unusually tired",Diphtheria
"Difficult or painful swallowing, High temperature and White spots on tonsils",Diphtheria
"Difficult or painful swallowing, High temperature and White spots on tonsils",Tonsillitis
"Difficult or painful swallowing, Sore throat and Unusually tired",Diphtheria
"Difficult or painful swallowing, Sore throat and Unusually tired",Tonsillitis
"Difficult or painful swallowing, White spots on tonsils and Sore throat",Diphtheria
"Difficult or painful swallowing, White spots on tonsils and Sore throat",Tonsillitis
"Difficult or painful swallowing, White spots on tonsils and Unusually tired",Diphtheria
"Difficult or painful swallowing, White spots on tonsils and Unusually tired",Tonsillitis
Difficulty Concentrating and Feeling Irritable,Dementia
Difficulty Concentrating and Feeling Irritable,Bipolar Disorder
Difficulty Concentrating and Feeling Irritable,Postnatal Depression
"Difficulty Opening Mouth, Jaw Pain When Eating, Jaw Pain, Headache, Face Pain, Ear Pain and Teeth Grinding",Teeth Grinding
"Difficulty Opening Mouth, Jaw Pain When Eating, Jaw Pain, Headache, Face Pain, Ear Pain and Teeth Grinding",Temporomandibular Joint Disorder
Difficulty Passing Urine and Pain When Passing Urine,Bladder Stone
Difficulty Passing Urine and Pain When Passing Urine,Genital Herpes In Women
Difficulty Passing Urine and Pain When Passing Urine,Cystitis
"Difficulty Sleeping, Avoiding People Or Social Contact, Difficulty Concentrating, Feeling Irritable and Loss Of Appetite",Postnatal Depression
"Difficulty Sleeping, Avoiding People Or Social Contact, Difficulty Concentrating, Feeling Irritable and Loss Of Appetite",Anxiety Disorder Of Childhood
"Difficulty Sleeping, Feeling Tired, Low Mood, Difficulty Concentrating, Pain In More Than One Joint, Mood Swings, Headache, Lower Sex Drive and Anxiety",Premenstrual Tension Syndrome
"Difficulty Sleeping, Feeling Tired, Low Mood, Difficulty Concentrating, Pain In More Than One Joint, Mood Swings, Headache, Lower Sex Drive and Anxiety",Menopause
"Difficulty Sleeping, Feeling Tired, Low Mood, Waking In The Early Morning, Often Tearful, Avoiding People Or Social Contact, Feeling Suicidal, Difficulty Concentrating, Increased Appetite, No Interest In Things, Feeling Irritable, Feelings Of Guilt, Lower Sex Drive, Anxiety and Loss Of Appetite",Postnatal Depression
"Difficulty Sleeping, Feeling Tired, Low Mood, Waking In The Early Morning, Often Tearful, Avoiding People Or Social Contact, Feeling Suicidal, Difficulty Concentrating, Increased Appetite, No Interest In Things, Feeling Irritable, Feelings Of Guilt, Lower Sex Drive, Anxiety and Loss Of Appetite",Depression
"Difficulty Sleeping, Inappropriate Sexual Behaviour, Unusual Behaviour, Jumps From Idea To Idea, Feeling Unusually Happy, Mood Swings, Feeling Irritable, Belief In Something Obviously Untrue and Loss Of Appetite",Bipolar Disorder
"Difficulty Sleeping, Inappropriate Sexual Behaviour, Unusual Behaviour, Jumps From Idea To Idea, Feeling Unusually Happy, Mood Swings, Feeling Irritable, Belief In Something Obviously Untrue and Loss Of Appetite",Postnatal Psychosis
Difficulty concentrating and Unusually tired,Anxiety
Difficulty concentrating and Unusually tired,Chronic fatigue syndrome
Difficulty concentrating and Unusually tired,Depression
Difficulty passing urine,Cystitis
Difficulty passing urine,Prostate Cancer
Difficulty passing urine,Genital Herpes in Women
Difficulty passing urine,Chlamydia
Difficulty passing urine,Genital Herpes in Men
Difficulty passing urine,Pyelonephritis
Difficulty passing urine,Bladder Cancer
Difficulty passing urine,Gonorrhoea in Women
Difficulty passing urine,Chlamydia
Difficulty passing urine,Gonorrhoea in Men
Difficulty passing urine and Bleeding between periods,Pelvic Inflammatory Disease
Difficulty passing urine and Bleeding between periods,Chlamydia
Difficulty passing urine and Pain during sex,Pelvic Inflammatory Disease
Difficulty passing urine and Pain during sex,Chlamydia
"Difficulty passing urine, Bleeding between periods and Pain during sex",Chlamydia
"Difficulty passing urine, Bleeding between periods and Pain during sex",Pelvic Inflammatory Disease
Difficulty speaking,Nasopharyngeal cancer
Difficulty speaking,Alcohol poisoning
Difficulty speaking,Laryngitis
Difficulty speaking,Diphtheria
Difficulty speaking,Laryngeal Cancer
Difficulty speaking,Tonsillitis
Difficulty speaking and Blocked nose,Diphtheria
Difficulty speaking and Blocked nose,Nasopharyngeal cancer
Difficulty speaking and Change of voice,Tonsillitis
Difficulty speaking and Change of voice,Nasopharyngeal cancer
Difficulty speaking and Change of voice,Laryngeal Cancer
Difficulty speaking and Change of voice,Laryngitis
Difficulty speaking and Change of voice,Diphtheria
Difficulty speaking and Difficult or painful swallowing,Tonsillitis
Difficulty speaking and Difficult or painful swallowing,Diphtheria
Difficulty speaking and Difficult or painful swallowing,Nasopharyngeal cancer
Difficulty speaking and High temperature,Diphtheria
Difficulty speaking and High temperature,Tonsillitis
Difficulty speaking and High temperature,Laryngitis
Difficulty speaking and Sore throat,Tonsillitis
Difficulty speaking and Sore throat,Diphtheria
Difficulty speaking and Sore throat,Laryngitis
Difficulty speaking and Swollen glands in neck,Nasopharyngeal cancer
Difficulty speaking and Swollen glands in neck,Diphtheria
Difficulty speaking and Unusually tired,Tonsillitis
Difficulty speaking and Unusually tired,Diphtheria
Difficulty speaking and White spots on tonsils,Tonsillitis
Difficulty speaking and White spots on tonsils,Diphtheria
"Difficulty speaking, Blocked nose and Change of voice",Nasopharyngeal cancer
"Difficulty speaking, Blocked nose and Change of voice",Diphtheria
"Difficulty speaking, Blocked nose and Swollen glands in neck",Nasopharyngeal cancer
"Difficulty speaking, Blocked nose and Swollen glands in neck",Diphtheria
"Difficulty speaking, Change of voice and Sore throat",Tonsillitis
"Difficulty speaking, Change of voice and Sore throat",Diphtheria
"Difficulty speaking, Change of voice and Sore throat",Laryngitis
"Difficulty speaking, Change of voice and Swollen glands in neck",Nasopharyngeal cancer
"Difficulty speaking, Change of voice and Swollen glands in neck",Diphtheria
"Difficulty speaking, Change of voice and Unusually tired",Diphtheria
"Difficulty speaking, Change of voice and Unusually tired",Tonsillitis
"Difficulty speaking, Change of voice and White spots on tonsils",Tonsillitis
"Difficulty speaking, Change of voice and White spots on tonsils",Diphtheria
"Difficulty speaking, Difficult or painful swallowing and Blocked nose",Diphtheria
"Difficulty speaking, Difficult or painful swallowing and Blocked nose",Nasopharyngeal cancer
"Difficulty speaking, Difficult or painful swallowing and High temperature",Tonsillitis
"Difficulty speaking, Difficult or painful swallowing and High temperature",Diphtheria
"Difficulty speaking, Difficult or painful swallowing and Sore throat",Tonsillitis
"Difficulty speaking, Difficult or painful swallowing and Sore throat",Diphtheria
"Difficulty speaking, Difficult or painful swallowing and Unusually tired",Tonsillitis
"Difficulty speaking, Difficult or painful swallowing and Unusually tired",Diphtheria
"Difficulty speaking, Difficult or painful swallowing and White spots on tonsils",Tonsillitis
"Difficulty speaking, Difficult or painful swallowing and White spots on tonsils",Diphtheria
"Difficulty speaking, High temperature and Change of voice",Tonsillitis
"Difficulty speaking, High temperature and Change of voice",Laryngitis
"Difficulty speaking, High temperature and Change of voice",Diphtheria
"Difficulty speaking, High temperature and Sore throat",Tonsillitis
"Difficulty speaking, High temperature and Sore throat",Diphtheria
"Difficulty speaking, High temperature and Sore throat",Laryngitis
"Difficulty speaking, High temperature and Unusually tired",Diphtheria
"Difficulty speaking, High temperature and Unusually tired",Tonsillitis
"Difficulty speaking, High temperature and White spots on tonsils",Tonsillitis
"Difficulty speaking, High temperature and White spots on tonsils",Diphtheria
"Difficulty speaking, Sore throat and Unusually tired",Diphtheria
"Difficulty speaking, Sore throat and Unusually tired",Tonsillitis
"Difficulty speaking, White spots on tonsils and Sore throat",Diphtheria
"Difficulty speaking, White spots on tonsils and Sore throat",Tonsillitis
"Difficulty speaking, White spots on tonsils and Unusually tired",Diphtheria
"Difficulty speaking, White spots on tonsils and Unusually tired",Tonsillitis
Difficulty walking,Guillain-Barré syndrome
Difficulty walking,Irritable hip
Difficulty walking,Heel pain
Discharge from ear,Mastoiditis
Discharge from ear,Otitis externa
Discharge from eyes,Inflammation of eyelids
Discharge from eyes,Infective conjunctivitis
Discharge from eyes and Eye pain,Infective conjunctivitis
Discharge from eyes and Eye pain,Inflammation of eyelids
Discharge from eyes and Itchy eyes,Inflammation of eyelids
Discharge from eyes and Itchy eyes,Infective conjunctivitis
"Discharge from eyes, Itchy eyes and Eye pain",Infective conjunctivitis
"Discharge from eyes, Itchy eyes and Eye pain",Inflammation of eyelids
Drooping of the face,Bell's palsy
Drooping of the face,Stroke
Dry cough,Sore throat
Dry cough,Whooping cough
Dry cough,Bronchiolitis
Dry cough and Runny nose,Whooping cough
Dry cough and Runny nose,Bronchiolitis
Dry eyes,Dry eyes
Dry eyes,Sjögren's syndrome
Dry skin,Eczema
Dry skin,Varicose veins of the leg with eczema
Dry skin,Psoriasis
Dry skin and Flaky skin,Varicose veins of the leg with eczema
Dry skin and Flaky skin,Psoriasis
Ear pain,Mastoiditis
Ear pain,Otitis media
Ear pain and Hearing loss in one ear,Otitis media
Ear pain and Hearing loss in one ear,Mastoiditis
Ear pain and High temperature,Mastoiditis
Ear pain and High temperature,Otitis media
"Ear pain, High temperature and Hearing loss in one ear",Mastoiditis
"Ear pain, High temperature and Hearing loss in one ear",Otitis media
Ears feel blocked,Otitis externa
Ears feel blocked,Ménière's disease
Easy bruising,Multiple myeloma
Easy bruising,Haemophilia A
Excessive sneezing,Allergic rhinitis
Excessive sneezing,Cold
Excessive sneezing,Inflammation of the nose
Excessive sneezing,Measles
Excessive sneezing,Hay fever
Excessive sneezing and Itchy eyes,Hay fever
Excessive sneezing and Itchy eyes,Allergic rhinitis
Excessive sneezing and Runny nose,Allergic rhinitis
Excessive sneezing and Runny nose,Inflammation of the nose
Excessive sneezing and Runny nose,Cold
Excessive sneezing and Runny nose,Measles
Excessive sneezing and Runny nose,Hay fever
Excessive sneezing and Sore throat,Cold
Excessive sneezing and Sore throat,Measles
Excessive sneezing and Watery eyes,Hay fever
Excessive sneezing and Watery eyes,Allergic rhinitis
Excessive sneezing and Watery eyes,Measles
"Excessive sneezing, Itchy eyes and Runny nose",Allergic rhinitis
"Excessive sneezing, Itchy eyes and Runny nose",Hay fever
"Excessive sneezing, Itchy eyes and Watery eyes",Hay fever
"Excessive sneezing, Itchy eyes and Watery eyes",Allergic rhinitis
"Excessive sneezing, Runny nose and Watery eyes",Measles
"Excessive sneezing, Runny nose and Watery eyes",Hay fever
"Excessive sneezing, Runny nose and Watery eyes",Allergic rhinitis
"Excessive sneezing, Sore throat and Runny nose",Measles
"Excessive sneezing, Sore throat and Runny nose",Cold
Excessive sweating at night,TB
Excessive sweating at night,Acute myeloid leukaemia
Excessive sweating at night,Menopause
Excessive sweating at night,Granulomatosis with polyangiitis
Excessive sweating at night,Non-Hodgkin's lymphoma
"Excessive sweating at night and Continuous, unexplained weight loss",Non-Hodgkin's lymphoma
"Excessive sweating at night and Continuous, unexplained weight loss",TB
Excessive sweating at night and Unusually tired,TB
Excessive sweating at night and Unusually tired,Non-Hodgkin's lymphoma
Excessive sweating at night and Unusually tired,Acute myeloid leukaemia
Excessive sweating at night and Unusually tired,Menopause
"Excessive sweating at night, Unusually tired and Continuous, unexplained weight loss",Non-Hodgkin's lymphoma
"Excessive sweating at night, Unusually tired and Continuous, unexplained weight loss",TB
Eye pain,Dry eyes
Eye pain,Measles
Eye pain,Infective conjunctivitis
Eye pain,Carcinoma in situ of eye
Eye pain,Glaucoma
Eye pain,Uveitis
Eye pain,Inflammation of eyelids
Eye pain and Reduced vision,Uveitis
Eye pain and Reduced vision,Glaucoma
Eyes sensitive to light,Subarachnoid haemorrhage
Eyes sensitive to light,Meningitis
Eyes sensitive to light,Uveitis
Eyes sensitive to light and Blurred vision,Subarachnoid haemorrhage
Eyes sensitive to light and Blurred vision,Uveitis
Eyes sensitive to light and Neck stiffness,Meningitis
Eyes sensitive to light and Neck stiffness,Subarachnoid haemorrhage
Face pain,Teeth grinding
Face pain,Sinusitis
Face pain,Salivary gland stone
Face pain,Mumps
Face pain and Jaw pain when eating,Teeth grinding
Face pain and Jaw pain when eating,Salivary gland stone
Face pain and Swelling of the face,Mumps
Face pain and Swelling of the face,Salivary gland stone
Fast or shallow breathing,Asthma Attack
Fast or shallow breathing,Pulmonary Embolism
Fast or shallow breathing,Croup
Fast or shallow breathing,Fear of open spaces
Fast or shallow breathing,Acute heart failure
Fast or shallow breathing,Acute exacerbation of COPD
Fast or shallow breathing,SVT
Fast or shallow breathing,Severe allergic reaction
Fast or shallow breathing,Bronchiolitis
Fast or shallow breathing,Panic disorder
Fast or shallow breathing and Blocked nose,Bronchiolitis
Fast or shallow breathing and Blocked nose,Croup
Fast or shallow breathing and Cough which produces mucus,Acute exacerbation of COPD
Fast or shallow breathing and Cough which produces mucus,Acute heart failure
Fast or shallow breathing and Feeling heart beat,Fear of open spaces
Fast or shallow breathing and Feeling heart beat,SVT
Fast or shallow breathing and Runny nose,Croup
Fast or shallow breathing and Runny nose,Bronchiolitis
Fast or shallow breathing and Unable to talk in full sentences,Asthma Attack
Fast or shallow breathing and Unable to talk in full sentences,Severe allergic reaction
Fast or shallow breathing and Wheeze (noise on breathing out),Bronchiolitis
Fast or shallow breathing and Wheeze (noise on breathing out),Asthma Attack
Fast or shallow breathing and Wheeze (noise on breathing out),Acute exacerbation of COPD
"Fast or shallow breathing, Blocked nose and Runny nose",Bronchiolitis
"Fast or shallow breathing, Blocked nose and Runny nose",Croup
Feeding Less Than Usual and High Temperature,Epiglottitis
Feeding Less Than Usual and High Temperature,Urinary Tract Infection In Children
Feeding Less Than Usual and High Temperature,Croup
Feeding less than usual,Bronchiolitis
Feeding less than usual,Epiglottitis
Feeding less than usual,Urinary tract infection in children
"Feel full quickly and Continuous, unexplained weight loss",Ovarian Cancer
"Feel full quickly and Continuous, unexplained weight loss",Liver cancer
Feel unbalanced,Major head injury
Feel unbalanced,Parkinson's disease
Feel unbalanced,Sensation of room spinning
Feel unbalanced,Subdural hemorrhage
Feel unbalanced,Alcohol poisoning
Feel unbalanced and Confused or muddled,Subdural hemorrhage
Feel unbalanced and Confused or muddled,Major head injury
Feel unbalanced and Confusion which is new,Alcohol poisoning
Feel unbalanced and Confusion which is new,Major head injury
Feeling Heart Beat and Anxiety,Claustrophobia
Feeling Heart Beat and Anxiety,Drug Induced Thyroiditis
Feeling Heart Beat and Anxiety,Pheochromocytoma
Feeling Heart Beat and Anxiety,Fear Of Open Spaces
Feeling Sick Nausea and Diarrhoea,Diverticulitis
Feeling Sick Nausea and Diarrhoea,Food Allergy
Feeling Sick Nausea and Diarrhoea,Irritable Bowel Syndrome
Feeling Sick Nausea and Diarrhoea,Salmonella
Feeling Sick Nausea and Diarrhoea,Gastroenteritis
"Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Salmonella
"Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Food Allergy
"Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Irritable Bowel Syndrome
Feeling Tired and Confused Or Muddled,Carbon Monoxide Poisoning
Feeling Tired and Confused Or Muddled,Reye S Syndrome
Feeling Tired and Confused Or Muddled,Hypoglycaemic Disorder
"Feeling Tired, Confused Or Muddled, Coughing Up Frothy Mucus, Leg Swelling, Cough Which Produces Mucus, Swollen Feet Or Ankles, Shortness Of Breath When Lying Flat, Feeling Heart Beat, Shortness Of Breath, Lightheaded Or Feeling Dizzy, Loss Of Appetite and Bloated Stomach",Congestive Heart Failure
"Feeling Tired, Headache and Lightheaded Or Feeling Dizzy",Heat Exhaustion
"Feeling Tired, Headache and Lightheaded Or Feeling Dizzy",Carbon Monoxide Poisoning
"Feeling Tired, Headache and Lightheaded Or Feeling Dizzy",Hypoglycaemic Disorder
"Feeling Tired, Pain In More Than One Joint, High Temperature, Cough and Loss Of Appetite",Rubella
"Feeling Tired, Pain In More Than One Joint, High Temperature, Cough and Loss Of Appetite",Granulomatosis With Polyangiitis
"Feeling Tired, Sore Throat, White Spots On Tonsils, Swollen Glands In Neck, Change Of Voice, Feeling Sick Nausea, Headache, Breath Smells Bad, High Temperature, Ear Pain, Difficult Or Painful Swallowing and Difficulty Speaking",Quinsy
"Feeling Tired, Sore Throat, White Spots On Tonsils, Swollen Glands In Neck, Change Of Voice, Feeling Sick Nausea, Headache, Breath Smells Bad, High Temperature, Ear Pain, Difficult Or Painful Swallowing and Difficulty Speaking",Tonsillitis
Feeling heart beat,Claustrophobia
Feeling heart beat,SVT
Feeling heart beat,Anxiety
Feeling heart beat,Postural tachycardia syndrome
Feeling heart beat,Fear of open spaces
Feeling heart beat and Loss of consciousness,SVT
Feeling heart beat and Loss of consciousness,Postural tachycardia syndrome
Feeling heart beat and Sweating,Fear of open spaces
Feeling heart beat and Sweating,Claustrophobia
Feeling heart beat and Unusually tired,SVT
Feeling heart beat and Unusually tired,Anxiety
Feeling irritable,Depression
Feeling irritable,PTSD
Feeling irritable,Premenstrual tension syndrome
Feeling irritable,Anxiety disorder of childhood
Feeling irritable,Anxiety
Feeling irritable,Overactive Thyroid
Feeling irritable,Mastoiditis
Feeling irritable,Measles
Feeling irritable,Kawasaki disease
Feeling irritable,Urinary tract infection in children
Feeling irritable and Difficulty concentrating,Anxiety
Feeling irritable and Difficulty concentrating,Depression
Feeling irritable and Difficulty concentrating,Premenstrual tension syndrome
Feeling irritable and Difficulty sleeping,PTSD
Feeling irritable and Difficulty sleeping,Depression
Feeling irritable and Difficulty sleeping,Anxiety disorder of childhood
Feeling irritable and Feeding less than usual,Urinary tract infection in children
Feeling irritable and Feeding less than usual,Epiglottitis
Feeling irritable and Increased appetite,Overactive Thyroid
Feeling irritable and Increased appetite,Depression
Feeling irritable and Red eyes,Kawasaki disease
Feeling irritable and Red eyes,Measles
Feeling irritable and Unusually tired,Anxiety
Feeling irritable and Unusually tired,Depression
Feeling irritable and Unusually tired,Urinary tract infection in children
Feeling irritable and Unusually tired,Measles
"Feeling irritable, Difficulty concentrating and Unusually tired",Anxiety
"Feeling irritable, Difficulty concentrating and Unusually tired",Depression
Feeling of your skin burning,Postherpetic neuralgia
Feeling of your skin burning,Chilblains
Feeling sick or nausea,Gastroenteritis
Feeling sick or nausea,Alcoholic liver disease
Feeling sick or nausea,Claustrophobia
Feeling sick or nausea,Migraine
Feeling sick or nausea,Hepatitis
Feeling sick or nausea,Recurrent pancreatitis
Feeling sick or nausea,Stomach Cancer
Feeling sick or nausea,Fear of open spaces
Feeling sick or nausea,Morning sickness
Feeling sick or nausea,Anxiety
Feeling sick or nausea and Abdominal pain spreading to shoulder blade,Acute cholecystitis
Feeling sick or nausea and Abdominal pain spreading to shoulder blade,Inflammation of pancreas
Feeling sick or nausea and Abdominal pain worse on coughing,Acute cholecystitis
Feeling sick or nausea and Abdominal pain worse on coughing,Inflammation of pancreas
Feeling sick or nausea and Blurred vision,Subarachnoid haemorrhage
Feeling sick or nausea and Blurred vision,High pressure headache
"Feeling sick or nausea and Continuous, unexplained weight loss",Oesophageal Cancer
"Feeling sick or nausea and Continuous, unexplained weight loss",Stomach Cancer
Feeling sick or nausea and Difficulty concentrating,High pressure headache
Feeling sick or nausea and Difficulty concentrating,Anxiety
Feeling sick or nausea and Feel unbalanced,Subdural hemorrhage
Feeling sick or nausea and Feel unbalanced,Alcohol poisoning
Feeling sick or nausea and Feeling heart beat,Anxiety
Feeling sick or nausea and Feeling heart beat,Fear of open spaces
Feeling sick or nausea and Feeling heart beat,Claustrophobia
Feeling sick or nausea and Headache getting worse over time,Brain Cancer
Feeling sick or nausea and Headache getting worse over time,High pressure headache
Feeling sick or nausea and Headache getting worse over time,Subdural hemorrhage
Feeling sick or nausea and Headache on waking up,Brain Cancer
Feeling sick or nausea and Headache on waking up,High pressure headache
Feeling sick or nausea and Headache that came on suddenly,Subarachnoid haemorrhage
Feeling sick or nausea and Headache that came on suddenly,Migraine
Feeling sick or nausea and Right sided abdominal pain,Acute cholecystitis
Feeling sick or nausea and Right sided abdominal pain,Gallstone
Feeling sick or nausea and Right sided abdominal pain,Hepatitis
Feeling sick or nausea and Severe headache,Brain Cancer
Feeling sick or nausea and Severe headache,Migraine
Feeling sick or nausea and Severe headache,Subarachnoid haemorrhage
Feeling sick or nausea and Severe headache,High pressure headache
Feeling sick or nausea and Shivering or rigors,Dengue
Feeling sick or nausea and Shivering or rigors,Pyelonephritis
Feeling sick or nausea and Sweating,Fear of open spaces
Feeling sick or nausea and Sweating,Claustrophobia
Feeling sick or nausea and Unusually tired,Heat stroke
Feeling sick or nausea and Unusually tired,Alcoholic liver disease
Feeling sick or nausea and Unusually tired,High altitude pulmonary oedema
Feeling sick or nausea and Unusually tired,Pyelonephritis
Feeling sick or nausea and Unusually tired,Morning sickness
Feeling sick or nausea and Unusually tired,Typhoid fever
Feeling sick or nausea and Unusually tired,Hepatitis
Feeling sick or nausea and Unusually tired,Anxiety
Feeling sick or nausea and Upper abdominal pain,Hepatitis
Feeling sick or nausea and Upper abdominal pain,Acute cholecystitis
Feeling sick or nausea and Upper abdominal pain,Gallstone
Feeling sick or nausea and Upper abdominal pain,Recurrent pancreatitis
Feeling sick or nausea and Upper abdominal pain,Stomach Cancer
Feeling sick or nausea and Upper abdominal pain,Inflammation of pancreas
Feeling sick or nausea and Vomiting,Hepatitis
Feeling sick or nausea and Vomiting,Inflammation of pancreas
Feeling sick or nausea and Vomiting,Morning sickness
Feeling sick or nausea and Vomiting,Alcohol poisoning
Feeling sick or nausea and Vomiting,Heat stroke
